timestamp,app_name,pid,protocol,local_addr,local_port,local_mac,remote_addr,remote_port,remote_mac,domain,service,direction,state,service_type
2024-11-16T13:44:35.221573,TabNine,1098948,tcp,127.0.0.1,48760,N/A,127.0.0.1,44817,N/A,127.0.0.1,PORT-44817,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:35.222029,warp-terminal,70181,tcp,10.105.8.94,39882,0C:37:96:4E:65:74,34.117.41.85,443,N/A,85.41.117.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:35.224606,TabNine,1098948,tcp,10.105.8.94,39308,0C:37:96:4E:65:74,34.123.33.186,443,N/A,186.33.123.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:35.226872,brave,5285,tcp,10.105.8.94,40042,0C:37:96:4E:65:74,142.250.192.234,443,N/A,del11s13-in-f10.1e100.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:35.228802,TabNine-dee,1099105,tcp,127.0.0.1,49152,N/A,127.0.0.1,36360,N/A,127.0.0.1,PORT-36360,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:35.229248,TabNine,1098871,tcp,10.105.8.94,45770,0C:37:96:4E:65:74,34.170.65.59,443,N/A,59.65.170.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:35.231169,brave,5285,tcp,10.105.8.94,41806,0C:37:96:4E:65:74,54.192.142.120,443,N/A,server-54-192-142-120.del54.r.cloudfront.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:35.233029,warp-terminal,70181,tcp,10.145.254.104,49608,N/A,34.96.117.51,443,N/A,51.117.96.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:36.256681,brave,5285,tcp,10.105.8.94,51310,0C:37:96:4E:65:74,142.250.77.195,443,N/A,del11s08-in-f3.1e100.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:36.259112,brave,5285,tcp,10.105.8.94,34790,0C:37:96:4E:65:74,13.107.246.48,443,N/A,13.107.246.48,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:36.266790,brave,5285,tcp,10.105.8.94,56172,0C:37:96:4E:65:74,34.197.157.38,4650,N/A,ec2-34-197-157-38.compute-1.amazonaws.com,PORT-4650,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:36.268723,brave,5285,tcp,10.105.8.94,59970,0C:37:96:4E:65:74,140.82.112.25,443,N/A,lb-140-82-112-25-iad.github.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:36.270628,warp-terminal,70181,tcp,10.105.8.94,33412,0C:37:96:4E:65:74,34.117.41.85,443,N/A,85.41.117.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:36.272612,Code,1098476,tcp,10.105.8.94,48166,0C:37:96:4E:65:74,117.18.232.200,443,N/A,117.18.232.200,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:36.278758,warp-terminal,70181,tcp,10.105.8.94,41348,0C:37:96:4E:65:74,34.117.41.85,443,N/A,85.41.117.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:36.280749,TabNine,1098948,tcp,127.0.0.1,55622,N/A,127.0.0.1,49152,N/A,127.0.0.1,PORT-49152,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:36.281212,TabNine,1098948,tcp,127.0.0.1,36360,N/A,127.0.0.1,49152,N/A,127.0.0.1,PORT-49152,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:36.281654,brave,5285,tcp,10.105.8.94,43968,0C:37:96:4E:65:74,142.250.77.195,443,N/A,del11s08-in-f3.1e100.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:36.283663,Code,1098476,tcp,10.105.8.94,37330,0C:37:96:4E:65:74,13.89.178.26,443,N/A,13.89.178.26,HTTPS,OUTBOUND,ESTABLISHED,WEB
